ano,uf,setor,porte_do_cliente,num_empregados
2002,PA,INDUSTRIA,MICRO,13508
2002,AP,INDUSTRIA,MICRO,748
2002,TO,INDUSTRIA,MICRO,3083
2002,MA,INDUSTRIA,MICRO,5967
2002,PI,INDUSTRIA,MICRO,6267
2002,CE,INDUSTRIA,MICRO,27272
2002,RN,INDUSTRIA,MICRO,10097
2002,PB,INDUSTRIA,MICRO,10189
2002,PE,INDUSTRIA,MICRO,25510
2002,AL,INDUSTRIA,MICRO,4576
2002,SE,INDUSTRIA,MICRO,5348
2002,BA,INDUSTRIA,MICRO,28747
2002,MG,INDUSTRIA,MICRO,137208
2002,ES,INDUSTRIA,MICRO,24409
2002,RJ,INDUSTRIA,MICRO,67795
2002,SP,INDUSTRIA,MICRO,345776
2002,PR,INDUSTRIA,MICRO,92418
2002,SC,INDUSTRIA,MICRO,92962
2002,RS,INDUSTRIA,MICRO,113410
2002,MS,INDUSTRIA,MICRO,9049
2002,MT,INDUSTRIA,MICRO,18327
2002,GO,INDUSTRIA,MICRO,32445
2002,DF,INDUSTRIA,MICRO,6310
2019,RO,CONSTRUCAO CIVIL,MICRO,3787
2019,AC,CONSTRUCAO CIVIL,MICRO,1719
2019,AM,CONSTRUCAO CIVIL,MICRO,4554
2019,RR,CONSTRUCAO CIVIL,MICRO,1011
2019,PA,CONSTRUCAO CIVIL,MICRO,8845
2019,AP,CONSTRUCAO CIVIL,MICRO,934
2019,TO,CONSTRUCAO CIVIL,MICRO,3071
2019,MA,CONSTRUCAO CIVIL,MICRO,6862
2019,PI,CONSTRUCAO CIVIL,MICRO,6493
2019,CE,CONSTRUCAO CIVIL,MICRO,18732
2019,RN,CONSTRUCAO CIVIL,MICRO,8788
2019,PB,CONSTRUCAO CIVIL,MICRO,10028
2019,PE,CONSTRUCAO CIVIL,MICRO,15119
2019,AL,CONSTRUCAO CIVIL,MICRO,6112
2019,SE,CONSTRUCAO CIVIL,MICRO,4895
2019,BA,CONSTRUCAO CIVIL,MICRO,22581
2019,MG,CONSTRUCAO CIVIL,MICRO,76536
2019,ES,CONSTRUCAO CIVIL,MICRO,12397
2019,RJ,CONSTRUCAO CIVIL,MICRO,30197
2019,SP,CONSTRUCAO CIVIL,MICRO,147254
2019,PR,CONSTRUCAO CIVIL,MICRO,52262
2019,SC,CONSTRUCAO CIVIL,MICRO,47429
2019,RS,CONSTRUCAO CIVIL,MICRO,50922
2019,MS,CONSTRUCAO CIVIL,MICRO,9027
2019,MT,CONSTRUCAO CIVIL,MICRO,12358
2019,GO,CONSTRUCAO CIVIL,MICRO,19354
2019,DF,CONSTRUCAO CIVIL,MICRO,10339
2018,RO,CONSTRUCAO CIVIL,MICRO,3553
2018,AC,CONSTRUCAO CIVIL,MICRO,1644
2018,AM,CONSTRUCAO CIVIL,MICRO,3994
2018,RR,CONSTRUCAO CIVIL,MICRO,906
2018,PA,CONSTRUCAO CIVIL,MICRO,8389
2018,AP,CONSTRUCAO CIVIL,MICRO,1194
2018,TO,CONSTRUCAO CIVIL,MICRO,3157
2018,MA,CONSTRUCAO CIVIL,MICRO,6996
2018,PI,CONSTRUCAO CIVIL,MICRO,5682
2018,CE,CONSTRUCAO CIVIL,MICRO,14816
2018,RN,CONSTRUCAO CIVIL,MICRO,7621
2018,PB,CONSTRUCAO CIVIL,MICRO,8310
2018,PE,CONSTRUCAO CIVIL,MICRO,13729
2018,AL,CONSTRUCAO CIVIL,MICRO,4895
2018,SE,CONSTRUCAO CIVIL,MICRO,4012
2018,BA,CONSTRUCAO CIVIL,MICRO,21231
2018,MG,CONSTRUCAO CIVIL,MICRO,65647
2018,ES,CONSTRUCAO CIVIL,MICRO,10083
2018,RJ,CONSTRUCAO CIVIL,MICRO,27518
2018,SP,CONSTRUCAO CIVIL,MICRO,137634
2018,PR,CONSTRUCAO CIVIL,MICRO,42897
2018,SC,CONSTRUCAO CIVIL,MICRO,37489
2018,RS,CONSTRUCAO CIVIL,MICRO,42802
2018,MS,CONSTRUCAO CIVIL,MICRO,7226
2018,MT,CONSTRUCAO CIVIL,MICRO,11226
2018,GO,CONSTRUCAO CIVIL,MICRO,17709
2018,DF,CONSTRUCAO CIVIL,MICRO,8843
2017,RO,CONSTRUCAO CIVIL,MICRO,3880
2017,AC,CONSTRUCAO CIVIL,MICRO,1626
2017,AM,CONSTRUCAO CIVIL,MICRO,3931
2017,RR,CONSTRUCAO CIVIL,MICRO,797
2017,PA,CONSTRUCAO CIVIL,MICRO,8431
2017,AP,CONSTRUCAO CIVIL,MICRO,1094
2017,TO,CONSTRUCAO CIVIL,MICRO,3300
2017,MA,CONSTRUCAO CIVIL,MICRO,6850
2017,PI,CONSTRUCAO CIVIL,MICRO,5936
2017,CE,CONSTRUCAO CIVIL,MICRO,14921
2017,RN,CONSTRUCAO CIVIL,MICRO,8104
2017,PB,CONSTRUCAO CIVIL,MICRO,8874
2017,PE,CONSTRUCAO CIVIL,MICRO,14007
2017,AL,CONSTRUCAO CIVIL,MICRO,4827
2017,SE,CONSTRUCAO CIVIL,MICRO,3696
2017,BA,CONSTRUCAO CIVIL,MICRO,21247
2017,MG,CONSTRUCAO CIVIL,MICRO,66217
2017,ES,CONSTRUCAO CIVIL,MICRO,10908
2017,RJ,CONSTRUCAO CIVIL,MICRO,29218
2017,SP,CONSTRUCAO CIVIL,MICRO,139016
2017,PR,CONSTRUCAO CIVIL,MICRO,42942
2017,SC,CONSTRUCAO CIVIL,MICRO,38195
2017,RS,CONSTRUCAO CIVIL,MICRO,44559
2017,MS,CONSTRUCAO CIVIL,MICRO,7268
2017,MT,CONSTRUCAO CIVIL,MICRO,10754
2017,GO,CONSTRUCAO CIVIL,MICRO,18387
2017,DF,CONSTRUCAO CIVIL,MICRO,9204
2016,RO,CONSTRUCAO CIVIL,MICRO,3893
2016,AC,CONSTRUCAO CIVIL,MICRO,1738
2016,AM,CONSTRUCAO CIVIL,MICRO,3977
2016,RR,CONSTRUCAO CIVIL,MICRO,907
2016,PA,CONSTRUCAO CIVIL,MICRO,9194
2016,AP,CONSTRUCAO CIVIL,MICRO,1151
2016,TO,CONSTRUCAO CIVIL,MICRO,3056
2016,MA,CONSTRUCAO CIVIL,MICRO,6943
2016,PI,CONSTRUCAO CIVIL,MICRO,5821
2016,CE,CONSTRUCAO CIVIL,MICRO,15937
