MASTER SISTEMAS AUTOMOTIVOS LTDA,"292 processos no TRT4, TRT04, TJRS, STJ e TRF4, 4 processos no TJBA, TJSP, TJES e TJGO, 2 processos no TJSP e TJRS, 1 processo no TRT4, 1 processo no JFDF, 1 processo no TRT04"
INDIAVAI ENERGETICA S/A,"15 processos no TJPE, TJSP, STJ, JFDF e JFMT, 4 processos no TRF1, JFMT e JFDF"
HELIX SEMENTES E MUDAS LTDA,"221 processos no TJSP, TJMG, TJRS, TJMT e TJMS, 1 processo no TRT5"
CASTELO ENERGETICA S.A. - CESA,"35 processos no TRT17, TJMS, STJ, TRF01 e TJRJ, 2 processos no TJMG e STJ, 2 processos no STJ, 1 processo no TJES, 1 processo no TRT2"
COMPANHIA DE FIACAO E TECIDOS SANTO ANTONIO,"191 processos no TRT3, TJMG, TRF1, TRF01 e TRT03, 2 processos no TJPR e TJRJ, 1 processo no TRF1, 1 processo no TJSC"
SEM NOME,"569 processos no TRF2-RJ, JFRJ e TRF2, 452 processos no TJSP, 428 processos no TJRO e STJ, 317 processos no TJPA, 225 processos no TJMS, TJSP, TJRJ e TJCE, 193 processos no TJRN"
BERNECK S.A. PAINEIS E SERRADOS,"619 processos no TRT9, TRT12, TRT09, TJPR e TRF4-PR, 31 processos no TJPR, TRF1, TJSP e STJ, 5 processos no TRF04, TRF4-PR e TRF4-SC  , 2 processos no STJ, 2 processos no TRT09 e TRT9, 1 processo no TRF1"
CONTINENTAL BRASIL INDUSTRIA AUTOMOTIVA LTDA,"1.305 processos no TRT15, TRT04, TRT02, TRT01 e TJSP, 6 processos no TRT15 e TRT04, 2 processos no TRT02, 2 processos no TRT15, 1 processo no TJRJ, 1 processo no TRT15"
ECOAXIAL ALIMENTOS LTDA,"132 processos no TRT9, TRT09, TJSP, TJPR e TRT2, 2 processos no TRT9, 1 processo no STJ"
MUNICIPIO DE BELO HORIZONTE,"81.357 processos no TJMG, STJ, TRF1, TJSP e JFMG, 17.086 processos no TJMG, STJ e STF, 12.908 processos no TJMG, STJ, TJSP, STF e TRT3, 2.253 processos no TJMG, STJ e STF, 1.777 processos no TRF1, TJMG, JFMG, TRF01 e STJ, 737 processos no TJMG, STJ e STF"
POTIGUAR ALIMENTOS DO MAR LTDA,"32 processos no TJRN, TRT21, STJ, TJPE e TJSP, 1 processo no TJPE"
RIO MATAPI NAVEGACAO LTDA. - EPP,"42 processos no TRT8, TJPA, TRT08, STJ e TST, 1 processo no TRT8"
ESTADO DE SAO PAULO,"1.558.883 processos no TJSP, TJSPCR, TRT15, STJ e TRF3, 1.368.701 processos no TJSP, STJ, TJSPCR, STF e TRF3, 1.335.304 processos no TJSP, STJ, TJSPCR, STF e TJMS, 1.333.871 processos no TJSP, STJ, TJSPCR, TJMS e TJSC, 123.980 processos no TRF3, JFSP, TJSP, TRF03 e STJ, 85.846 processos no TJSP, TRT15, STJ, TRT2 e TRT02"
COMPANHIA SIDERURGICA NACIONAL,"8.935 processos no TRT1, TST, TRT01, TJRJ e TRT3, 795 processos no TJRJ, TRF2, TRF2-RJ, TRT1 e STJ, 760 processos no TJRJ, STJ, TJSP, TJMG e TRT1, 275 processos no TJRJ, TJMG, TJSP, STJ e TRF3, 189 processos no TJRJ, STJ, TRF1, TJSC e TJSP, 160 processos no TRT2, TJRJ, TRT3, TST e TRT02"
CCB - CIMPOR CIMENTOS DO BRASIL S.A.,"258 processos no TRT4, TRT04, TJBA, TRT2 e TRT6, 42 processos no TRT19 e TST, 36 processos no TRT19, 10 processos no TRT19, 5 processos no TJRS e TRT13, 3 processos no TJSP e TRF1"
ITAU UNIBANCO S.A.,"778.058 processos no TJSP, TJRJ, TJMG, TJRS e TJPR, 139.015 processos no TJRJ, TJSP, TJBA, TJPR e TJRS, 54.640 processos no TJSP, TJPR, TJRJ, TJRS e TRT2, 20.584 processos no TJRJ, TJMG, TJSP, TJPE e TJRS, 18.579 processos no TJBA, TJSP, TJRJ, TJPR e TJPA, 6.158 processos no TJMS, TJSC, TJMT, STJ e TJSP"
ESTADO DO PARANA,"182.487 processos no TJPR, TJSC, STJ, TJSP e TJMS, 154.078 processos no TJPR, TRF4-PR, TRT9, STJ e TRF3, 49.721 processos no TJPR, TJSP, TJSC, STJ e TJRJ, 27.656 processos no TJPR, STJ e STF, 16.576 processos no STJ, TJPR, TJSP, TRF04 e STF, 7.597 processos no TJPR, TJSP, TJSC, TJRS e STJ"
ESTADO DE RONDONIA,"231.272 processos no TJRO, STJ, TJMT, TJPA e TRF1, 114.759 processos no TJRO, STJ, TRT14, TRF1 e STF, 84.066 processos no TJRO, TRF1, STJ, TRF01 e TJMT, 23.977 processos no TJRO, STJ, TRF1, TJMT e TJSP, 13.061 processos no TJRO, TJMT, TJMG, TJSP e STJ, 9.998 processos no TRT14, TST, TJRO e STJ"
ELEKTRO REDES S.A.,"12.167 processos no TJSP, TRT15, TJMS, STJ e TJSPCR, 218 processos no TJSP, TJSPCR e STF, 52 processos no TJSP, TJSPCR, TRF1, STJ e TJRJ, 5 processos no TRF3, 4 processos no TRT15, 4 processos no TJSP"
AIR LIQUIDE BRASIL LTDA,"8 processos no TRT02 e TRT2, 7 processos no TJSP e STJ, 6 processos no TRT2, TRT02 e JFDF, 5 processos no TJSP, 4 processos no TRT02 e TST, 3 processos no TRT02"
CONVERPLAST EMBALAGENS LTDA,"761 processos no TRT2, TRT02, TJSP, TRF3 e TRT6, 4 processos no TRT2, 3 processos no TRT2, 2 processos no TRT2, 2 processos no TRT2, 2 processos no TRT2"
JALLES MACHADO S.A.,"1.697 processos no TRT18, TJGO, TRF1, TJSP e TRT19, 36 processos no TRF1, TJGO, TRF01, JFGO e JFDF, 13 processos no TRT18, 5 processos no TRT18, 4 processos no TRT18, 4 processos no TRT22"
TUPY S/A,"4.672 processos no TRT12, TRT2, TRT02, TJSC e TST, 177 processos no TJPR, TJSC e STJ, 142 processos no TRF1, TRT5, TJBA, TRT05 e JFBA, 56 processos no TRT2, TRT02, TJSP, TRF1 e TRF2, 22 processos no TJSC e TJSC  , 18 processos no TJBA, JFBA e TRF1"
